日期,股票代號,商品名稱,商品代號,月份,開盤參考價
20210317,2330,台積電期貨,CDF,202103,611
20210317,2330,台積電期貨,CDF,202104,610
20210317,2330,台積電期貨,CDF,202106,607
20210317,2330,台積電期貨,CDF,202109,602
20210317,2330,台積電期貨,CDF,202112,598
20210317,2330,小型台積電期貨,QFF,202103,611
20210317,2330,小型台積電期貨,QFF,202104,610
20210317,2330,小型台積電期貨,QFF,202106,607
20210317,2330,小型台積電期貨,QFF,202109,602
20210317,2330,小型台積電期貨,QFF,202112,598
20210325,3706,神達期貨,PSF,202104,28.5
20210325,3706,神達期貨,PSF,202105,28.4
20210325,3706,神達期貨,PSF,202106,28.25
20210325,3706,神達期貨,PSF,202109,28.5
20210325,3706,神達期貨,PSF,202112,28.5
20210325,5009,榮剛期貨,NJF,202104,16.6
20210325,5009,榮剛期貨,NJF,202105,16.4
20210325,5009,榮剛期貨,NJF,202106,16.7
20210325,5009,榮剛期貨,NJF,202109,16.75
20210325,5009,榮剛期貨,NJF,202112,16.6
